X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Lat,Lng
955378.0543,147858.1676,172,0.11847611599999999,0.000658403,New Dorp/Midland Beach,172,Staten Island,40.57149,-74.0931627
1022184.7629999999,213199.76899999997,173,0.060063965999999996,0.00017833,North Corona,173,Queens,40.7543725,-73.8669188
1018054.7270000001,258762.4175,174,0.06781775599999999,0.000155929,Norwood,174,Bronx,42.19439089999999,-71.19896949999999
1051486.558,210164.4567,175,0.134897665,0.000504921,Oakland Gardens,175,Queens,40.7408584,-73.758241
951015.1537,144073.003,176,0.151995191,0.000657782,Oakwood,176,Staten Island,37.3375302,-95.2402666
1008907.123,185974.2057,177,0.071580541,0.000198895,Ocean Hill,177,Brooklyn,36.3828821,-75.82797459999999
992387.4807,164298.1671,178,0.068252877,0.000175805,Ocean Parkway South,178,Brooklyn,40.61287799999999,-73.96838620000001
1004521.786,220336.3096,179,0.071380864,0.000183893,Old Astoria,179,Queens,40.770112,-73.9096452
1026033.916,185292.7322,180,0.080527767,0.000247682,Ozone Park,180,Queens,40.6794072,-73.8507279
990062.887,184111.7929,181,0.08953724,0.00030689,Park Slope,181,Brooklyn,40.6710672,-73.98142279999999
1023558.863,244398.1962,182,0.039360637000000004,9.109999999999999e-05,Parkchester,182,Bronx,40.8382522,-73.8566087
1030769.0179999999,248842.87699999998,183,0.039826296000000004,9.520000000000001e-05,Pelham Bay,183,Bronx,40.8505556,-73.83333329999999
1038293.709,254402.5575,184,0.260815683,0.001988834,Pelham Bay Park,184,Bronx,40.8654997,-73.8091736
1024313.23,250253.3626,185,0.086161968,0.000228537,Pelham Parkway,185,Bronx,40.8553279,-73.8639594
986340.4718,211966.8662,186,0.02469639,3.71e-05,Penn Station/Madison Sq West,186,Manhattan,40.7483605,-73.9907657
945067.3759,167177.6035,187,0.126868431,0.000421196,Port Richmond,187,Staten Island,39.9885174,-75.1063473
999454.6176,178848.0044,188,0.097798397,0.000313003,Prospect-Lefferts Gardens,188,Brooklyn,40.6592355,-73.9533895
993051.2337,185993.8462,189,0.048674330999999994,0.00010142799999999999,Prospect Heights,189,Brooklyn,40.6774196,-73.9668408
992309.7469,179954.8759,190,0.074329466,0.000270874,Prospect Park,190,Brooklyn,40.6602037,-73.9689558
1056016.866,199613.4021,191,0.13093263800000002,0.000688461,Queens Village,191,Queens,40.7156628,-73.7419017
1035459.392,210539.6534,192,0.11196462,0.00037380800000000005,Queensboro Hill,192,Queens,40.743168,-73.827958
1000792.132,216799.1163,193,0.065529958,0.000145592,Queensbridge Housing,193,Queens,40.7553227,-73.9455065
1006117.1009999999,227627.1511,194,0.081793835,0.000273482,Randalls Island,194,Manhattan,40.7932271,-73.92128579999999
981601.1839,185365.4588,195,0.131308244,0.0008016519999999999,Red Hook,195,Brooklyn,40.6733676,-74.00831889999999
1021943.9709999999,202950.2294,196,0.083242111,0.00019747099999999998,Rego Park,196,Queens,40.72557219999999,-73.8624893
1031657.891,191801.4658,197,0.108568532,0.000504689,Richmond Hill,197,Queens,31.9382652,-81.3034433
1011423.405,195967.8698,198,0.134094243,0.00049981,Ridgewood,198,Queens,40.9792645,-74.11653129999999
1016498.527,227862.0636,199,0.077808501,0.00028874799999999997,Rikers Island,199,Bronx,40.79312770000001,-73.88601
1010108.92,267135.0299,200,0.112661735,0.000744643,Riverdale/North Riverdale/Fieldston,200,Bronx,40.9090464,-73.90364869999999
1026683.448,149700.8641,201,0.130404118,0.000619351,Rockaway Park,201,Queens,40.57978629999999,-73.8372237
997987.6043,216594.6092,202,0.069921571,0.000106175,Roosevelt Island,202,Manhattan,40.76050310000001,-73.9509934
1057297.063,179660.4438,203,0.189937816,0.00061513,Rosedale,203,Queens,45.01264,-93.1722643
926723.33,136351.6441,204,0.101912418,0.000641384,Rossville/Woodrow,204,Staten Island,40.5434385,-74.19764409999999
1050079.729,191559.6782,205,0.141953388,0.0007662169999999999,Saint Albans,205,Queens,44.8107132,-73.0835582
950066.2578,170997.5657,206,0.212756793,0.0009443930000000001,Saint George/New Brighton,206,Staten Island,40.6458363,-74.0861345
1012138.6429999999,217460.5394,207,0.028375683,4.47e-05,Saint Michaels Cemetery/Woodside,207,Queens,40.7646761,-73.89850419999999
1032714.815,239781.0488,208,0.21472101,0.0020203260000000002,Schuylerville/Edgewater Park,208,Bronx,40.83665389999999,-73.83378909999999
983595.777,197398.3965,209,0.030695311,3.8900000000000004e-05,Seaport,209,Manhattan,32.7094908,-117.1708757
999709.1419,155604.6869,210,0.114851983,0.000453155,Sheepshead Bay,210,Brooklyn,40.5953955,-73.94575379999999
983868.9504,203012.49800000002,211,0.025234508,3.97e-05,SoHo,211,Manhattan,40.723301,-74.0029883
1020254.275,241067.6197,212,0.067129065,0.000161276,Soundview/Bruckner,212,Bronx,40.8248261,-73.87051869999999
1022782.5129999999,236777.3522,213,0.159958784,0.000904078,Soundview/Castle Hill,213,Bronx,40.8176831,-73.8507279
960395.1140000001,153009.2606,214,0.135300314,0.000811977,South Beach/Dongan Hills,214,Staten Island,40.5829261,-74.0896753
1042382.073,192258.2529,215,0.103556454,0.00039564699999999995,South Jamaica,215,Queens,40.6808594,-73.7919103
1034035.311,186002.7242,216,0.116797555,0.000816077,South Ozone Park,216,Queens,40.6764003,-73.8124984
996215.2572,195492.2161,217,0.055390525,0.00011473299999999999,South Williamsburg,217,Brooklyn,40.7085742,-73.9701826
1047462.718,184776.5703,218,0.083700828,0.000281294,Springfield Gardens North,218,Queens,40.6707283,-73.78161539999999
1050557.361,179905.8864,219,0.15512667,0.000428176,Springfield Gardens South,219,Queens,40.6707283,-73.78161539999999
1008618.071,260590.4019,220,0.106015943,0.000313036,Spuyten Duyvil/Kingsbridge,220,Bronx,40.8794197,-73.9074286
961670.4465,165251.1835,221,0.166218221,0.000890112,Stapleton,221,Staten Island,39.7601463,-104.8907792
1016957.041,174971.2626,222,0.048389352999999996,0.00013026799999999998,Starrett City,222,Brooklyn,40.6489978,-73.880203
1010097.755,222807.4149,223,0.166021925,0.0007643610000000001,Steinway,223,Queens,40.7800438,-73.89969839999999
990391.0437,205865.6517,224,0.044020446,9.85e-05,Stuy Town/Peter Cooper Village,224,Manhattan,40.7316903,-73.9778494
1003262.224,190226.848,225,0.08879920699999999,0.000310835,Stuyvesant Heights,225,Brooklyn,40.6824166,-73.9319933
1003837.4820000001,207164.4234,226,0.16895776199999998,0.000761944,Sunnyside,226,Queens,37.6787399,-97.30085629999999
982364.3506,173027.7704,227,0.082830157,0.000268317,Sunset Park East,227,Brooklyn,40.65272,-74.00933479999999
981486.2307,177407.2779,228,0.177685178,0.000993415,Sunset Park West,228,Brooklyn,40.65272,-74.00933479999999
993898.33,214924.4994,229,0.04252529,9.470000000000001e-05,Sutton Place/Turtle Bay North,229,Manhattan,40.7580446,-73.960208
988633.7086,216109.0411,230,0.03102831,5.610000000000001e-05,Times Sq/Theatre District,230,Manhattan,40.759011,-73.9844722
982389.5171,201116.7965,231,0.063420117,0.00016693,TriBeCa/Civic Center,231,Manhattan,40.71636489999999,-74.0123498
989154.8792,199911.4479,232,0.061470909000000004,0.00021605,Two Bridges/Seward Park,232,Manhattan,40.7149056,-73.98924699999999
992214.2877,212221.5621,233,0.048035918,0.00011618799999999999,UN/Turtle Bay South,233,Manhattan,40.7571432,-73.9718815
